v-sweep,v(vout),i(vout),v(v1),v(v2)
0.392,1,-0.000000434385797,0.392,0.5
0.393,1,-0.000000433374559,0.393,0.5
0.394,1,-0.000000432338155,0.394,0.5
0.395,1,-0.000000431275978,0.395,0.5
0.396,1,-0.000000430187526,0.396,0.5
0.397,1,-0.00000042907201,0.397,0.5
0.398,1,-0.000000427928974,0.398,0.5
0.399,1,-0.000000426757715,0.399,0.5
0.4,1,-0.000000425557602,0.4,0.5
0.401,1,-0.000000424327986,0.401,0.5
0.402,1,-0.000000423068244,0.402,0.5
0.403,1,-0.000000421777578,0.403,0.5
0.404,1,-0.000000420455414,0.404,0.5
0.405,1,-0.00000041910095,0.405,0.5
0.406,1,-0.000000417713586,0.406,0.5
0.407,1,-0.000000416292536,0.407,0.5
0.408,1,-0.000000414836997,0.408,0.5
0.409,1,-0.000000413346285,0.409,0.5
0.41,1,-0.000000411819641,0.41,0.5
0.411,1,-0.000000410256227,0.411,0.5
0.412,1,-0.000000408655353,0.412,0.5
0.413,1,-0.000000407016074,0.413,0.5
0.414,1,-0.00000040533763,0.414,0.5
0.415,1,-0.000000403619261,0.415,0.5
0.416,1,-0.000000401859992,0.416,0.5
0.417,1,-0.000000400059072,0.417,0.5
0.418,1,-0.000000398215484,0.418,0.5
0.419,1,-0.000000396328574,0.419,0.5
0.42,1,-0.000000394397198,0.42,0.5
0.421,1,-0.000000392420581,0.421,0.5
0.422,1,-0.000000390397787,0.422,0.5
0.423,1,-0.000000388327848,0.423,0.5
0.424,1,-0.000000386209798,0.424,0.5
0.425,1,-0.000000384042764,0.425,0.5
0.426,1,-0.000000381825643,0.426,0.5
0.427,1,-0.000000379557456,0.427,0.5
0.428,1,-0.000000377237363,0.428,0.5
0.429,1,-0.000000374864214,0.429,0.5
0.43,1,-0.000000372436986,0.43,0.5
0.431,1,-0.000000369954648,0.431,0.5
0.432,1,-0.000000367416149,0.432,0.5
0.433,1,-0.000000364820508,0.433,0.5
0.434,1,-0.000000362166567,0.434,0.5
0.435,1,-0.000000359453239,0.435,0.5
0.436,1,-0.000000356679543,0.436,0.5
0.437,1,-0.00000035384425,0.437,0.5
0.438,1,-0.000000350946301,0.438,0.5
0.439,1,-0.000000347984589,0.439,0.5
0.44,1,-0.000000344957947,0.44,0.5
0.441,1,-0.000000341865324,0.441,0.5
0.442,1,-0.000000338705505,0.442,0.5
0.443,1,-0.000000335477324,0.443,0.5
0.444,1,-0.000000332179667,0.444,0.5
0.445,1,-0.000000328811311,0.445,0.5
0.446,1,-0.00000032537119,0.446,0.5
0.447,1,-0.000000321858074,0.447,0.5
0.448,1,-0.0000003182707,0.448,0.5
0.449,1,-0.000000314608094,0.449,0.5
0.45,1,-0.000000310868863,0.45,0.5
0.451,1,-0.000000307051941,0.451,0.5
0.452,1,-0.000000303156071,0.452,0.5
0.453,1,-0.000000299180236,0.453,0.5
0.454,1,-0.000000295122994,0.454,0.5
0.455,1,-0.000000290983365,0.455,0.5
0.456,1,-0.000000286760098,0.456,0.5
0.457,1,-0.000000282451978,0.457,0.5
0.458,1,-0.000000278057954,0.458,0.5
0.459,1,-0.000000273576731,0.459,0.5
0.46,1,-0.00000026900728,0.46,0.5
0.461,1,-0.000000264348301,0.461,0.5
0.462,1,-0.000000259598799,0.462,0.5
0.463,1,-0.000000254757516,0.463,0.5
0.464,1,-0.000000249823508,0.464,0.5
0.465,1,-0.000000244795537,0.465,0.5
0.466,1,-0.000000239672509,0.466,0.5
0.467,1,-0.000000234453445,0.467,0.5
0.468,1,-0.00000022913725,0.468,0.5
0.469,1,-0.000000223722829,0.469,0.5
0.47,1,-0.000000218209259,0.47,0.5
0.471,1,-0.000000212595602,0.471,0.5
0.472,1,-0.000000206880721,0.472,0.5
0.473,1,-0.000000201063749,0.473,0.5
0.474,1,-0.000000195143876,0.474,0.5
0.475,1,-0.000000189120115,0.475,0.5
0.476,1,-0.000000182991649,0.476,0.5
0.477,1,-0.000000176757567,0.477,0.5
0.478,1,-0.000000170417351,0.478,0.5
0.479,1,-0.000000163969872,0.479,0.5
0.48,1,-0.000000157414682,0.48,0.5
0.481,1,-0.000000150750992,0.481,0.5
0.482,1,-0.000000143978305,0.482,0.5
0.483,1,-0.000000137095945,0.483,0.5
0.484,1,-0.000000130103388,0.484,0.5
0.485,1,-0.000000123000085,0.485,0.5
0.486,1,-0.000000115785724,0.486,0.5
0.487,1,-0.000000108459865,0.487,0.5
0.488,1,-0.000000101022067,0.488,0.5
0.489,1,-0.0000000934721669,0.489,0.5
0.49,1,-0.0000000858099085,0.49,0.5
0.491,1,-0.000000078035157,0.491,0.5
0.492,1,-0.0000000701478271,0.492,0.5
0.493,1,-0.0000000621478193,0.493,0.5
0.494,1,-0.000000054035155,0.494,0.5
0.495,1,-0.0000000458099905,0.495,0.5
0.496,1,-0.0000000374724891,0.496,0.5
0.497,1,-0.0000000290229067,0.497,0.5
0.498,1,-0.0000000204614992,0.498,0.5
0.499,1,-0.0000000117886927,0.499,0.5
0.5,1,-3.00499892E-09,0.5,0.5
0.501,1,5.88908478E-09,0.501,0.5
0.502,1,0.0000000148929189,0.502,0.5
0.503,1,0.0000000240058569,0.503,0.5
0.504,1,0.0000000332269821,0.504,0.5
0.505,1,0.0000000425554063,0.505,0.5
0.506,1,0.0000000519902272,0.506,0.5
0.507,1,0.0000000615304003,0.507,0.5
0.508,1,0.0000000711747106,0.508,0.5
0.509,1,0.0000000809219642,0.509,0.5
0.51,1,0.0000000907706834,0.51,0.5
0.511,1,0.000000100719561,0.511,0.5
0.512,1,0.000000110767004,0.512,0.5
0.513,1,0.000000120911466,0.513,0.5
0.514,1,0.00000013115109,0.514,0.5
0.515,1,0.000000141484009,0.515,0.5
0.516,1,0.000000151908466,0.516,0.5
0.517,1,0.000000162422289,0.517,0.5
0.518,1,0.000000173023395,0.518,0.5
0.519,1,0.000000183709588,0.519,0.5
0.52,1,0.000000194478375,0.52,0.5
0.521,1,0.000000205327304,0.521,0.5
0.522,1,0.000000216253966,0.522,0.5
0.523,1,0.000000227255612,0.523,0.5
0.524,1,0.000000238329527,0.524,0.5
0.525,1,0.000000249472755,0.525,0.5
0.526,1,0.000000260682384,0.526,0.5
0.527,1,0.000000271955329,0.527,0.5
0.528,1,0.000000283288422,0.528,0.5
0.529,1,0.000000294678216,0.529,0.5
0.53,1,0.000000306121557,0.53,0.5
0.531,1,0.00000031761482,0.531,0.5
0.532,1,0.000000329154446,0.532,0.5
0.533,1,0.000000340736726,0.533,0.5
0.534,1,0.000000352357858,0.534,0.5
0.535,1,0.000000364013992,0.535,0.5
0.536,1,0.000000375700978,0.536,0.5
0.537,1,0.000000387414929,0.537,0.5
0.538,1,0.000000399151524,0.538,0.5
0.539,1,0.000000410906537,0.539,0.5
0.54,1,0.000000422675491,0.54,0.5
0.541,1,0.000000434453995,0.541,0.5
0.542,1,0.000000446237472,0.542,0.5
0.543,1,0.000000458021169,0.543,0.5
0.544,1,0.000000469800369,0.544,0.5
0.545,1,0.000000481570133,0.545,0.5
0.546,1,0.000000493325494,0.546,0.5
0.547,1,0.000000505061422,0.547,0.5
0.548,1,0.000000516772566,0.548,0.5
0.549,1,0.000000528453725,0.549,0.5
0.55,1,0.000000540099336,0.55,0.5
0.551,1,0.000000551703842,0.551,0.5
0.552,1,0.00000056326143,0.552,0.5
0.553,1,0.000000574766048,0.553,0.5
0.554,1,0.000000586211691,0.554,0.5
0.555,1,0.000000597591828,0.555,0.5
0.556,1,0.000000608899718,0.556,0.5
0.557,1,0.000000620128368,0.557,0.5
0.558,1,0.000000631270368,0.558,0.5
0.559,1,0.000000642317637,0.559,0.5
0.56,1,0.000000653261608,0.56,0.5
0.561,1,0.000000664092994,0.561,0.5
0.562,1,0.000000674801171,0.562,0.5
0.563,1,0.000000685374765,0.563,0.5
0.564,1,0.000000695800232,0.564,0.5
0.565,1,0.000000706062046,0.565,0.5
0.566,1,0.00000071614167,0.566,0.5
0.567,1,0.000000726016324,0.567,0.5
0.568,1,0.000000735657544,0.568,0.5
0.569,1,0.00000074502848,0.569,0.5
0.57,1,0.000000754079998,0.57,0.5
0.571,1,0.000000762744321,0.571,0.5
0.572,1,0.000000770925404,0.572,0.5
0.573,1,0.000000778484122,0.573,0.5
0.574,1,0.000000785221332,0.574,0.5
0.575,1,0.000000790855822,0.575,0.5
0.576,1,0.0000007952179,0.576,0.5
0.577,1,0.000000798393586,0.577,0.5
0.578,1,0.00000080080784,0.578,0.5
0.579,1,0.000000802872492,0.579,0.5
0.58,1,0.000000804801722,0.58,0.5
0.581,1,0.000000806674421,0.581,0.5
0.582,1,0.000000808514805,0.582,0.5
0.583,1,0.00000081033042,0.583,0.5
0.584,1,0.000000812123702,0.584,0.5
0.585,1,0.00000081389566,0.585,0.5
0.586,1,0.000000815646935,0.586,0.5
0.587,1,0.000000817378059,0.587,0.5
0.588,1,0.000000819089344,0.588,0.5
0.589,1,0.000000820781104,0.589,0.5
0.59,1,0.000000822453565,0.59,0.5
0.591,1,0.000000824106792,0.591,0.5
0.592,1,0.000000825740791,0.592,0.5
0.593,1,0.0000008273555,0.593,0.5
0.594,1,0.000000828950867,0.594,0.5
0.595,1,0.000000830526567,0.595,0.5
0.596,1,0.000000832082314,0.596,0.5
0.597,1,0.000000833617662,0.597,0.5
0.598,1,0.000000835132077,0.598,0.5
0.599,1,0.000000836624814,0.599,0.5
0.6,1,0.000000838094977,0.6,0.5
0.601,1,0.000000839541549,0.601,0.5
0.602,1,0.000000840963203,0.602,0.5
0.603,1,0.00000084235834,0.603,0.5
0.604,1,0.00000084372499,0.604,0.5
0.605,1,0.000000845060683,0.605,0.5
0.606,1,0.000000846362475,0.606,0.5
0.607,1,0.000000847626495,0.607,0.5
