 frequency       db(v(vout))     180*cph(v(vout))/pi
 8.91250938e+06 -2.22926019e+01 -1.11360667e+02 
 1.00000000e+07 -2.33449144e+01 -1.15136876e+02 
 1.12201845e+07 -2.44170087e+01 -1.19313577e+02 
 1.25892541e+07 -2.55160500e+01 -1.23966410e+02 
 1.41253754e+07 -2.66521562e+01 -1.29175992e+02 
 1.58489319e+07 -2.78384414e+01 -1.35023392e+02 
 1.77827941e+07 -2.90901525e+01 -1.41589758e+02 
 1.99526231e+07 -3.04237575e+01 -1.48968210e+02 
 2.23872114e+07 -3.18580136e+01 -1.57286522e+02 
 2.51188643e+07 -3.34176631e+01 -1.66725667e+02 
 2.81838293e+07 -3.51375626e+01 -1.77524111e+02 
 3.16227766e+07 -3.70642559e+01 -1.89975083e+02 
 3.54813389e+07 -3.92520935e+01 -2.04430753e+02 
 3.98107171e+07 -4.17482079e+01 -2.21323206e+02 
 4.46683592e+07 -4.45543041e+01 -2.41188105e+02 
 5.01187234e+07 -4.75507325e+01 -2.64544242e+02 
 5.62341325e+07 -5.04160016e+01 -2.91150472e+02 
 6.30957344e+07 -5.27452393e+01 -3.18544935e+02 
 7.07945784e+07 -5.44605691e+01 -3.42438310e+02 
 7.94328235e+07 -5.58668915e+01 -3.59909584e+02 
 8.91250938e+07 -5.72304438e+01 -3.70336863e+02 
 1.00000000e+08 -5.85604454e+01 -3.74025247e+02 
 1.12201845e+08 -5.96347516e+01 -3.71800526e+02 
 1.25892541e+08 -6.01619938e+01 -3.65713634e+02 
 1.41253754e+08 -6.00631966e+01 -3.58851190e+02 
 1.58489319e+08 -5.95468221e+01 -3.53476430e+02 
 1.77827941e+08 -5.88786782e+01 -3.50140011e+02 
 1.99526231e+08 -5.82224224e+01 -3.48455289e+02 
 2.23872114e+08 -5.76448914e+01 -3.47878372e+02 
 2.51188643e+08 -5.71616463e+01 -3.47981276e+02 
 2.81838293e+08 -5.67672097e+01 -3.48476499e+02 
 3.16227766e+08 -5.64493497e+01 -3.49181642e+02 
 3.54813389e+08 -5.61949320e+01 -3.49983734e+02 
 3.98107171e+08 -5.59920404e+01 -3.50813879e+02 
 4.46683592e+08 -5.58305634e+01 -3.51630875e+02 
 5.01187234e+08 -5.57021871e+01 -3.52410902e+02 
 5.62341325e+08 -5.56001854e+01 -3.53141061e+02 
 6.30957344e+08 -5.55191636e+01 -3.53815296e+02 
 7.07945784e+08 -5.54548149e+01 -3.54431806e+02 
 7.94328235e+08 -5.54037106e+01 -3.54991382e+02 
 8.91250938e+08 -5.53631240e+01 -3.55496344e+02 
 1.00000000e+09 -5.53308891e+01 -3.55949845e+02 
